Disciplina;Conceito 1;Conceito 2;Conceito 3;Conceito 4;Conceito 5;Conceito 6;Conceito 7
História dos Computadores e da Computação;ICHCC01 – Histórico;ICHCC02 – Gerações de Computadores;ICHCC03 – Arquitetura de VonNeumann;ICHCC04 – Big Data;ICHCC05 – Computação em Núvem;ICHCC06 – Inteligência Artificial;
Lógica e Sistemas Numéricos;ICSN01 – Sistema Numérico e Representação Numérica;ICSN02 – Principais Sistemas Numéricos;ICSN03 – Conversões entre bases numéricas;ICSN04 – Byte, Word e Unidades de Medidas de Armazenamento;ICL01 – O que é Lógica;ICL02 – Lógica Proposicional e Proposições;ICL03 – Principais Operadores Lógicos e Tabela Verdade
Fundamentos de Algoritmos;ICFA01 – O que é um algoritmo;ICFA02 – Representação de Algoritmos;ICFA03 – Paradigmas de Programação;;;;
Fundamentos de Banco de Dados e Engenharia de Software;ICFBD01 – Introdução aos Banco de Dados;ICFBD02 – Modelo Relacional;ICFBD03 – SQL;ICES01 – Introdução a Engenharia de Software;ICES02 – Processos de Software;ICES03 – Engenharia de Requisitos;
Fundamentos de Sistemas Operacionais e Organização de Computadores;ICFSOOC01 – O Sistema Operacional;ICFSOOC02 – Tipos de Sistemas Operacionais;ICFSOOC03 – Visão geral do computador;;;;
Redes de Computadores;ICRC01 – Introdução às Redes de Computadores;ICRC02 – Tipos de redes de computadores;ICRC03 – Topologias;ICRC04 – Protocolos de Comunicação;ICRC05 – Modelos OSI e TCP-IP;;
